,id_str,id,ssfr_best,ssfr_med_max68,ssfr_med_min68,ssfr_med,sfr_best,sfr_med_max68,sfr_med_min68,sfr_med,mass_best,mass_med_max68,mass_med_min68,mass_med,age,type,zpdf,flag_deep,flag_shallow,l_r,l_k,l_nu,dist,merging_none_fraction,merging_minor-disturbance_fraction,merging_major-disturbance_fraction,merging_merger_fraction,category,ra,dec,log_l_ha,log_l_oiii,photo_z,spec_z,redshift,redshift_nsa,total_sfr_avg,elpetro_mass,logMH,elpetro_mass_log,log_m_bh,log_bolometric_l
0,341048_283,235022.0,-42.46,-12.532,-12.668,-12.6,-31.311,-1.432,-1.568,-1.5,11.148,11.184,11.116,11.15,8000000000.0,0.0,0.21,0.0,0.0,29.53,29.933,26.985,0.153464,0.3481531,0.049993053,0.021748707,0.5801051,merger,150.20390747658377,1.6388968783721969,,,0.21822067,,0.21822067,,,,,,,
1,341048_405,245922.0,-21.221,-13.032,-13.168,-13.1,-10.03,-1.832,-1.968,-1.9,11.19,11.184,11.116,11.15,9000000000.0,0.0,0.22,0.0,0.0,29.54,29.956,26.99,0.185488,0.28633285,0.059747547,0.042518698,0.61140096,merger,150.2021595221588,1.6527731327705946,,,0.24581872,,0.24581872,,,,,,,
2,341048_403,246058.0,-19.776,-12.532,-12.668,-12.6,-8.535,-1.332,-1.468,-1.4,11.241,11.284,11.216,11.25,8000000000.0,0.0,0.21,0.0,0.0,29.63,30.03,27.087,0.151886,0.30982986,0.059986506,0.038535144,0.59164846,merger,150.20224818970314,1.6538398972621589,,,0.2129118,,0.2129118,,,,,,,
3,342489_2385,442649.0,-12.053,-12.032,-12.168,-12.1,-0.685,-0.632,-0.768,-0.7,11.367,11.384,11.316,11.35,10000000000.0,2.0,0.302,1.0,0.0,29.853,30.15,27.895,0.601622,0.2906132,0.08782064,0.06218628,0.5593799,merger,150.421028242225,1.984448851840792,,,0.3048816,0.32244423,0.32244423,,,,,,,
4,345365_4079,837900.0,0.0,,,,,,,,,,,,,-9.0,,0.0,0.0,,,,0.030736,0.35947192,0.0823472,0.052300062,0.50588083,merger,149.49550548933487,2.5681082974217264,,,0.31166145,,0.31166145,,,,,,,
5,345366_3828,843301.0,0.0,,,,,,,,,,,,,1.0,,0.0,1.0,,,,0.031042,0.41021538,0.05327526,0.026572993,0.5099364,merger,149.54121516829034,2.5776883503359875,,,0.09241181,,0.09241181,,,,,,,
6,343927_4621,678588.0,-13.286,-13.232,-13.368,-13.3,-2.488,-2.432,-2.568,-2.5,10.798,10.834,10.766,10.8,3500000000.0,0.0,0.33,1.0,0.0,29.49,29.835,27.227,0.057584,0.35188577,0.055701856,0.031138875,0.5612735,merger,149.78794235352083,2.32665953532115,,,0.34101638,,0.34101638,,,,,,,
7,346805_3892,1018742.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.07149,0.21478467,0.061923847,0.0321035,0.691188,merger,149.4438851027846,2.8554963758848033,,,0.10808691,0.09168439,0.09168439358472824,0.09168439,0.2216401,18884276000.0,,10.276101,,
8,346805_3893,1026511.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.062083,0.21787582,0.05982779,0.031667005,0.6906294,merger,149.44419750008606,2.8575295031272905,,,0.09012521,0.10346651,0.10346651077270508,0.10346651,-0.2727299,37123035000.0,,10.569644,,
9,348245_485,1058803.0,-31.613,-16.175,-16.944,-16.826,-20.484,-5.075,-5.744,-5.626,11.129,11.18,11.107,11.141,5500000000.0,0.0,0.33,0.0,0.0,29.628,29.995,27.144,0.032961,0.3656172,0.069904864,0.034103826,0.53037417,merger,149.46899216703824,2.9007739513284867,,,0.31853855,,0.31853855,,,,,,,
10,345368_2400,781167.0,-10.334,-10.224,-10.367,-10.295,0.639,0.676,0.534,0.605,10.973,10.983,10.914,10.948,8000000000.0,0.0,0.25,1.0,0.0,29.622,29.909,28.765,0.700157,0.19956961,0.08113761,0.04378976,0.675503,merger,150.09251557926814,2.4819308081393,,,0.2456068,,0.2456068,,,,,,,
11,345368_2333,772647.0,-12.194,-12.131,-12.268,-12.2,-0.608,-0.531,-0.668,-0.6,11.587,11.634,11.566,11.6,8000000000.0,2.0,0.38,0.0,0.0,30.017,30.401,27.815,0.226988,0.30994862,0.088231295,0.038463015,0.56335706,merger,150.23337179807706,2.476228313318312,,,0.35708076,0.37380332,0.37380332,,,,,,,
12,345369_2736,786830.0,-11.668,-11.632,-11.768,-11.7,-0.324,-0.232,-0.368,-0.3,11.343,11.434,11.366,11.4,9000000000.0,2.0,0.339,0.0,1.0,29.88,30.163,28.098,0.139061,0.23927872,0.050602216,0.02641076,0.68370837,merger,150.37977590584754,2.4901636254625488,,,0.30666906,0.3494694,0.3494694,,-99.0,,,,,
13,346807_3896,1004150.0,-17.742,-11.932,-12.068,-12.0,-7.757,-1.832,-1.968,-1.9,9.986,10.134,10.066,10.1,2300000000.0,0.0,0.163,0.0,0.0,28.804,29.094,26.704,0.096855,0.2093461,0.07880851,0.070083834,0.6417616,merger,149.99220682075386,2.828670813810847,,,0.18864533,,0.18864533,,,,,,,
14,348248_160,1044256.0,-10.475,-10.433,-10.57,-10.502,-0.148,-0.032,-0.168,-0.1,10.327,10.385,10.316,10.351,4000000000.0,0.0,0.18,0.0,0.0,29.106,29.389,28.014,0.093277,0.38073516,0.066246346,0.03154542,0.52147305,merger,150.10699054632693,2.8814685387888352,,,0.20636456,,0.20636456,,,,,,,
15,346808_3414,974466.0,-19.054,-12.532,-12.668,-12.6,-7.875,-1.332,-1.468,-1.4,11.179,11.234,11.166,11.2,7500000000.0,0.0,0.295,0.0,0.0,29.589,29.979,27.049,0.512183,0.25321624,0.073781624,0.034069836,0.63893235,merger,150.1869405626485,2.7825010943760127,,,0.30802214,0.3048846,0.3048846,,,,,,,
16,343930_3971,668237.0,-31.613,-12.23,-16.941,-16.815,-20.511,-1.03,-5.741,-5.615,11.102,11.186,11.111,11.148,5500000000.0,0.0,0.32,0.0,1.0,29.602,29.968,27.117,0.067128,0.21374124,0.048509736,0.025537247,0.71221167,merger,150.65880861973406,2.3129252055715543,,,0.28787318,0.3264662,0.3264662,,-0.5825499,,,,,
17,343930_3551,652611.0,-38.121,-12.532,-12.668,-12.6,-26.76,-1.132,-1.268,-1.2,11.362,11.434,11.366,11.4,7000000000.0,0.0,0.35,0.0,1.0,29.784,30.167,27.243,0.098642,0.38571033,0.07082075,0.039054856,0.5044141,merger,150.73632240274418,2.2917747097507526,,,0.35521212,0.36410904,0.36410904,,-99.0,,,,,
18,343930_3862,665718.0,-12.449,-12.325,-12.471,-12.398,-1.595,-1.525,-1.671,-1.598,10.854,10.883,10.814,10.848,11000000000.0,0.0,0.181,0.0,1.0,29.203,29.617,26.907,0.105088,0.24522473,0.09542016,0.08637311,0.57298195,merger,150.7485842301281,2.305769715166941,,,0.21354152,,0.21354152,,,,,,,
19,343931_4505,697527.0,-12.194,-12.111,-12.26,-12.179,-1.253,-1.055,-1.26,-1.174,10.941,11.039,10.964,11.003,8000000000.0,0.0,0.17,0.0,1.0,29.372,29.756,27.169,0.049081,0.31439367,0.10473493,0.06492582,0.51594555,merger,150.75597722581549,2.3529735465925437,,,0.16372739,0.17642695,0.17642695,,-1.0114399,,,,,
20,346810_963,908372.0,0.0,,,,,,,,,,,,,-9.0,,0.0,1.0,,,,0.577695,0.19887668,0.11931199,0.11162689,0.57018447,merger,150.74765680191192,2.6758959804094737,,,0.18644762,,0.18644762,,,,,,,
