,id_str,ra,dec,est_petro_th50
9,391823_6736,318.7370441257836,10.615449918513274,1.5045816069294287
16,437245_4206,171.80407234356883,18.87286840866517,2.0421280188462494
18,411680_323,356.0547327264214,13.895435120931474,2.026541160850208
30,393394_1000,358.12374963672505,10.669877844112284,2.992170433987776
36,398882_4349,315.8496716095772,11.777195851535684,2.4967216814885886
63,444051_816,171.78176565272503,19.92531575088196,3.0800379865797383
94,415168_101,175.19580764681544,14.638171505042349,2.8987824305906424
141,420729_4171,174.0398616742946,15.846879307251976,1.8833765181049584
172,429026_2163,175.13350250227015,17.237623672995984,2.3511470618046495
210,419354_3103,177.72711810639362,15.558000941502794,2.0455173319675035
218,412390_349,178.91007893772004,14.141977316490316,2.2955282002672663
244,417969_2116,179.3272760328278,15.207234555541673,2.156207273082067
255,419360_3351,179.40200774995472,15.550385085239585,1.8091703463660758
258,420749_1473,179.4348966847845,15.69442085807337,1.9199119752169778
265,422127_5503,177.02684118175972,16.116663783410708,2.2753001447022525
266,422132_3656,178.18647927546797,16.016471566171806,2.0181365761438133
268,423515_3126,177.73614532076923,16.27238214584874,1.6328159306410883
270,423516_817,178.16994501310654,16.166772977172464,3.6678974482463063
276,429031_982,176.48110819420413,17.18841916239987,7.984106482806185
277,429031_975,176.47946497948635,17.192758462658848,4.769119044788044
285,426280_4282,178.04626298644706,16.846665646266388,10.35867109825189
286,426280_4354,178.05232073918768,16.851646230993765,8.324677774794482
287,426280_4280,178.05319970482375,16.859203520101463,10.35867109825189
293,424900_2593,178.26394604977585,16.503631131438663,2.176501202932536
317,431776_2393,174.4987953858844,17.754081789328154,1.9640320522158496
325,434516_3257,173.5639019041559,18.30987166288475,2.364452151794276
352,434521_3248,174.85067320018953,18.313076752266763,3.005844101073096
354,435890_32,174.83281241892172,18.376287872964408,1.7214100287183711
370,434525_1520,175.9592425457061,18.212176320695885,2.554758219452374
389,439981_2091,173.8030430580417,19.246672585413766,1.5355562801481142
406,442703_3892,174.17697262276945,19.84630881151852,1.6766723600977866
407,444061_20,174.5453946232079,19.877430652163735,2.962000076603344
432,444064_3748,175.45012502411072,20.10370675132741,17.16003558458666
449,431787_3048,177.50054983477506,17.815187202665868,2.026541160850208
508,445429_4557,177.92756706060726,20.34656031313927,1.6904068868092266
520,440004_2343,179.96108749245974,19.256500492581267,1.7501979906147127
576,449439_3741,167.88024149186535,21.04309095145625,2.031465753622725
595,454803_331,166.63650032880193,21.895787280447525,1.351956367971397
609,407482_2693,356.5219674433937,13.267152009718984,2.9100486288332457
611,456139_4033,166.63748169698928,22.372289525669014,3.816532675974616
646,448098_4417,169.44912853826685,20.872274848645525,1.879794488205496
659,452136_2615,170.12484277255408,21.525400826818256,2.3902212471221262
666,449451_4047,170.97287556518512,21.09676431878628,2.73357719529733
719,408889_3322,357.73684242050325,13.563471911825742,3.090431779468472
720,408889_3328,357.7378105645496,13.565905550162404,3.539330669249259
724,410290_784,358.0192919898498,13.67677342597193,5.201189380295277
725,410290_790,358.0212076679938,13.679710883105894,5.847283352432438
768,457489_3277,171.14903012732705,22.553063684046716,3.4272750751454617
769,456158_3679,171.77634976563436,22.33408908758647,3.923203367132827
774,458821_1412,171.38725520496345,22.693655618622348,2.011859626662702
796,461461_2472,167.09358098803474,23.26531839243235,1.7865409965046304
800,464106_1952,166.92684588529983,23.722113255295433,2.538960571365291
813,468058_1257,167.53168233032108,24.448552059856343,1.3885243582040325
816,464109_5102,167.95725595437708,23.850405096203595,1.4342863107573238
821,464115_848,169.37303849401175,23.67410885816843,1.7465677829623267
853,406091_83,359.8178718587403,12.885312918009378,2.3848992557351787
903,475889_2381,168.16457163770198,26.004267213563782,2.3440993500707625
941,464125_1034,172.18407948902905,23.68150405738402,3.712016680102757
950,469383_3602,171.28630578274104,24.831968378950705,2.011272992701995
951,468074_3734,171.80918878333756,24.603519325582134,1.9722712204377342
964,410291_1176,358.33402298803895,13.689613260678753,3.6732629987684713
993,475896_1549,170.18566743788958,25.947923228980727,1.2860775632191905
1012,477198_2108,172.0635399679771,26.234166621402085,5.246192209375349
1022,449458_1675,172.87826684489798,20.98155766025292,2.0758078920902756
1024,449459_3692,173.21574680990432,21.080366119568986,1.9695480372250227
1035,452147_231,173.1154856721371,21.388203281803207,1.8663210347284755
1037,452146_2690,172.89261546692146,21.539294307538032,2.1411201703685143
1050,452152_0,174.60185670875822,21.37736245430185,3.293574573615139
1055,453493_555,174.6071793668849,21.663210449456898,1.7156853957759124
1064,450814_528,175.90844061254256,21.161574744229036,2.305257349764739
1071,453494_3017,174.72131672600017,21.772748954891135,6.642005868017212
1100,454827_3396,173.09991418164168,22.04373291061021,2.0898231775926255
1106,457498_1345,173.51575033112024,22.454662767059826,1.9235321658509097
1126,457502_2767,174.70377789005389,22.521181169262263,2.9058575889104263
1128,457504_776,175.18589963449077,22.446814988856325,3.8658294977131904
1159,448129_1262,177.74454670353586,20.70151618187889,7.682470418241904
1160,448129_1266,177.74433337553506,20.70576075030195,5.078897575914571
1172,452160_30,176.6671209743149,21.380959467401052,4.40014727746895
1173,452160_2253,176.74099190187025,21.492556690434856,3.6551124603799
1174,452160_2177,176.75084757021492,21.48919227558647,2.5217813800961784
1204,405992_224,334.37094716226807,12.885913920707347,2.5624468569147583
1205,407395_3431,334.26329710789526,13.268742969555793,3.2754875576390896
1222,448135_4098,179.2336257642635,20.8354366234387,1.7580963048307536
1225,450827_4567,179.27495512090564,21.33322833516565,1.449314637567883
1232,452169_982,179.03241321811853,21.42505850565951,1.208649822207728
1237,453509_2268,178.87870290431593,21.739298814620696,1.6514604961102999
1250,454844_4099,177.59199572459755,22.108779804707734,2.8667449317390856
1260,458840_4166,176.69298573360592,22.841870531279245,2.186564134983926
1309,462828_4424,178.80684808895109,23.596679105734882,2.531567560136311
1314,460178_4594,179.1486631188926,23.11524151535811,2.7643695718587846
1333,407398_2284,335.08023285029645,13.226490813566603,1.6328474578466405
1341,466765_3378,173.27641079541533,24.33664093610625,2.832035007349028
1344,469391_1393,173.549611224603,24.69762802119621,1.6525702593640745
1345,468082_3426,174.0842401687913,24.572464821524814,2.53763417741664
1376,468090_2088,176.4133820440907,24.4899607684222,3.1910054639084344
1395,477207_1610,174.5323765754833,26.22413228188795,2.541154654647595
1438,410205_722,336.26579085453716,13.669087423008769,2.802792040842311
1444,464146_4515,178.06088459619886,23.844846049409817,2.5444347419881836
1446,464147_4329,178.1028952674932,23.86103813579733,2.026541160850208
1475,470718_2070,178.5299710795378,25.022199067453,2.603218640247453
1478,468102_53,179.66772181741877,24.37677773204031,1.853504520999061
1494,474627_3806,178.08733160097097,25.827727759076982,8.562561749531062
1523,473332_4830,179.98916707533414,25.600803757205895,1.6584962381136255
1524,473332_5100,179.93416929749074,25.621026933533315,4.664894062032193
1525,474632_2213,179.57292338947337,25.723867473860132,2.3741289925692364
1594,454691_3602,136.52844003561515,22.11265757413002,2.911756461485494
