,id_str,ra,dec,est_petro_th50
753,460143_3796,169.57648705813097,23.104275952799814,1.6939436618190051
839,468062_932,168.7286284994865,24.428551018281265,2.2604097531767064
1806,471884_3325,139.69445098710347,25.30470739751226,2.4037314555429887
2431,475808_2747,145.81182266062157,26.009973837153698,1.4451612377993026
3318,488682_1910,159.07982110758186,28.488853665899363,2.4218021609889946
3562,492478_2356,161.06942674231203,29.289287857586448,1.777479861332006
3911,495020_1406,169.8989130879056,29.691760867349576,1.3800946309410607
4420,406806_303,183.1334893980901,13.13648124134007,1.5818119557914054
6604,449508_1932,186.3780382731195,20.978736752116813,1.457799679046296
6955,450858_3457,187.6790812806371,21.337240193963584,2.4384034200604487
7064,446834_3282,192.02364419816314,20.565863669951156,2.110584836066003
7258,474669_836,189.69320029475043,25.67263899689482,1.9143944213557849
7686,424983_4810,199.8950782556725,16.59669578847056,2.202533592687113
9878,416717_579,215.63968577975817,14.905125596821808,1.716050545847802
10013,450933_272,207.60084152573188,21.1383466843795,0.8391184473788702
11288,445576_2966,217.02445026787262,20.278949581094615,1.8485838240916712
11487,422307_815,223.6672447848924,15.916105120680434,1.8643288435904781
11968,495068_683,183.46908142552965,29.66664318564002,1.9457120620550243
12623,493870_2597,199.6472518204847,29.495587584857446,1.8328995970956707
13481,462962_1713,215.13087568443967,23.472683064293552,2.213176960193265
15188,395768_2270,241.91144618903493,11.2474824886181,1.865032158348743
16149,449675_2577,230.99926139311737,21.037444716825036,2.220576350773517
16924,452375_3687,234.22394533323515,21.56754898105615,2.149862305276149
18349,419646_4713,253.5323839963115,15.543132818571532,2.112727223712473
19537,430725_0,259.5250421270332,17.37541948716232,1.5297063182752684
19985,417249_4596,353.2302916511835,15.101098223746048,2.757188051534434
21348,481286_372,232.9404433882253,26.89596540366443,1.5244880006131465
22313,491447_2491,226.30304450589804,29.00885048210713,1.8050302634024304
22650,487728_1355,248.50663687378952,28.20295411655133,1.941466190921833
25686,258873_1063,354.7987648629978,-12.813085400187992,1.7101964918628212
25957,271588_2697,354.9920071812605,-10.496057658628176,2.6357066789642007
